# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.5
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = ConstantCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.3800,0.157123,0.000279654,0.0118232,0.0281195,-0.0111549,-5.11472e-05,0.850093,0.00202036,0.0323037,0.120173,-0.0557342,0.000888368,-0.00258255,0.00258255,-0.10902,0.10902,1525,-0.00100915,0.00100915,-0.129453,0.129453,1503.02
0.4000,0.175116,0.000301235,0.0126631,0.0304022,-0.01232,-6.38993e-05,0.900025,0.00202311,0.0319122,0.114131,-0.0582507,0.00100059,-0.00299286,0.00299286,-0.101828,0.101828,1525,-0.00132383,0.00132383,-0.125367,0.125367,1507.42
0.4200,0.194094,0.000320945,0.013527,0.0325332,-0.0135335,-7.86162e-05,0.949364,0.00200332,0.0314589,0.106541,-0.0606689,0.00110891,-0.00337883,0.00337883,-0.0942671,0.0942671,1525,-0.00165763,0.00165763,-0.120659,0.120659,1510.93
0.4400,0.214044,0.000338469,0.0144169,0.0344858,-0.0147934,-9.5396e-05,0.998033,0.00196215,0.0309429,0.0976146,-0.0629855,0.00121049,-0.0037268,0.0037268,-0.0863494,0.0863494,1525,-0.00200187,0.00200187,-0.115381,0.115381,1513.75
0.4600,0.234952,0.000353536,0.0153345,0.0362375,-0.0160974,-0.00011432,1.04597,0.00190112,0.030364,0.0875752,-0.0651974,0.00130263,-0.00402364,0.00402364,-0.0780894,0.0780894,1525,-0.00234686,0.00234686,-0.109574,0.109574,1516
0.4800,0.256803,0.000365919,0.0162818,0.037771,-0.0174436,-0.00013545,1.09314,0.00182209,0.0297225,0.0766542,-0.0673008,0.00138283,-0.00425718,0.00425718,-0.0695062,0.0695062,1525,-0.00268221,0.00268221,-0.103277,0.103277,1517.8
0.5000,0.279579,0.000375437,0.0172605,0.039073,-0.0188295,-0.000158829,1.13948,0.00172722,0.0290196,0.0650832,-0.0692915,0.00144882,-0.00441656,0.00441656,-0.0606239,0.0606239,1525,-0.00299721,0.00299721,-0.0965231,0.0965231,1519.24
0.5200,0.303264,0.000381951,0.0182726,0.0401353,-0.0202529,-0.00018448,1.18499,0.00161886,0.028257,0.0530901,-0.0711642,0.00149872,-0.00449261,0.00449261,-0.0514717,0.0514717,1525,-0.00328108,0.00328108,-0.0893432,0.0893432,1520.39
0.5400,0.32784,0.000385367,0.01932,0.0409538,-0.0217112,-0.000212403,1.22963,0.00149955,0.0274368,0.0408949,-0.072913,0.00153099,-0.00447805,0.00447805,-0.0420838,0.0420838,1525,-0.00352338,0.00352338,-0.0817689,0.0817689,1521.31
0.5600,0.35329,0.000385627,0.0204047,0.0415286,-0.0232018,-0.000242574,1.27339,0.00137194,0.0265618,0.0287059,-0.074531,0.00154458,-0.0043678,0.0043678,-0.0324998,0.0324998,1525,-0.00371432,0.00371432,-0.0738319,0.0738319,1522.05
0.5800,0.379597,0.000382712,0.0215286,0.0418637,-0.024722,-0.000274945,1.31626,0.00123871,0.0256353,0.0167169,-0.0760108,0.00153889,-0.00415913,0.00415913,-0.0227641,0.0227641,1525,-0.00384501,0.00384501,-0.0655655,0.0655655,1522.64
0.6000,0.406741,0.000376638,0.0226936,0.0419666,-0.0262688,-0.000309444,1.35824,0.00110253,0.0246612,0.00510488,-0.0773438,0.00151385,-0.00385175,0.00385175,-0.0129262,0.0129262,1525,-0.00390784,0.00390784,-0.0570052,0.0570052,1523.11
0.6200,0.434705,0.000367449,0.0239018,0.0418481,-0.0278391,-0.000345971,1.39931,0.000965995,0.0236438,-0.00597214,-0.0785211,0.00146988,-0.00344788,0.00344788,-0.00303994,0.00303994,1525,-0.00389662,0.00389662,-0.0481894,0.0481894,1523.49
0.6400,0.463471,0.000355214,0.0251551,0.0415217,-0.0294295,-0.000384399,1.43948,0.000831581,0.0225879,-0.0163761,-0.0795333,0.00140792,-0.00295219,0.00295219,0.00683656,-0.00683656,1525,-0.00380687,0.00380687,-0.0391595,0.0391595,1523.79
0.6600,0.49302,0.000340027,0.0264553,0.0410031,-0.0310366,-0.000424575,1.47875,0.000701582,0.0214986,-0.0259899,-0.0803706,0.00132937,-0.00237177,0.00237177,0.0166416,-0.0166416,1525,-0.00363594,0.00363594,-0.0299603,0.0299603,1524.03
0.6800,0.523336,0.000321998,0.0278045,0.04031,-0.0326568,-0.000466319,1.51712,0.000578072,0.0203814,-0.0347178,-0.0810232,0.00123613,-0.00171592,0.00171592,0.0263105,-0.0263105,1525,-0.0033831,0.0033831,-0.0206399,0.0206399,1524.23
0.7000,0.554398,0.000301254,0.0292043,0.0394617,-0.034286,-0.000509423,1.5546,0.000462865,0.0192422,-0.0424852,-0.0814815,0.00113048,-0.000995944,0.000995944,0.035776,-0.035776,1525,-0.00304966,0.00304966,-0.0112498,0.0112498,1524.38
0.7200,0.586191,0.000277931,0.0306568,0.0384784,-0.0359202,-0.000553656,1.59119,0.000357487,0.0180872,-0.0492386,-0.0817361,0.00101504,-0.000224867,0.000224867,0.0449697,-0.0449697,1525,-0.00263892,0.00263892,-0.00184467,0.00184467,1524.51
0.7400,0.618696,0.000252173,0.0321635,0.0373812,-0.0375553,-0.000598763,1.62691,0.00026315,0.0169227,-0.0549446,-0.0817783,0.000892728,0.000582927,-0.000582927,0.0538221,-0.0538221,1525,-0.00215611,0.00215611,0.00751821,-0.00751821,1524.6
0.7600,0.651896,0.00022413,0.0337261,0.0361911,-0.0391867,-0.000644465,1.66176,0.000180742,0.0157553,-0.0595891,-0.0816004,0.000766651,0.00141207,-0.00141207,0.0622638,-0.0622638,1525,-0.0016083,0.0016083,0.016779,-0.016779,1524.68
0.7800,0.685774,0.000193953,0.0353463,0.0349294,-0.04081,-0.000690466,1.69575,0.00011082,0.0145915,-0.0631756,-0.0811957,0.000640023,0.00224664,-0.00224664,0.0702269,-0.0702269,1525,-0.00100423,0.00100423,0.0258759,-0.0258759,1524.75
0.8000,0.720312,0.000161792,0.0370255,0.0336168,-0.0424206,-0.000736456,1.72889,5.36154e-05,0.0134379,-0.0657245,-0.080559,0.000516077,0.00307061,-0.00307061,0.0776452,-0.0776452,1525,-0.000354053,0.000354053,0.0347461,-0.0347461,1524.8
0.8200,0.755493,0.000127794,0.0387649,0.0322733,-0.0440137,-0.000782108,1.76119,9.04258e-06,0.0123011,-0.0672707,-0.0796865,0.000397974,0.00386825,-0.00386825,0.0844558,-0.0844558,1525,0.000330879,-0.000330879,0.043326,-0.043326,1524.84
0.8400,0.791302,9.2102e-05,0.0405658,0.030918,-0.0455846,-0.00082709,1.79268,-2.32788e-05,0.0111876,-0.0678624,-0.0785765,0.000288714,0.00462463,-0.00462463,0.0905998,-0.0905998,1525,0.00103835,-0.00103835,0.0515519,-0.0515519,1524.87
0.8600,0.827722,5.48534e-05,0.0424293,0.0295689,-0.0471285,-0.000871064,1.82334,-4.39994e-05,0.0101035,-0.0675593,-0.0772292,0.00019105,0.00532597,-0.00532597,0.0960232,-0.0960232,1525,0.00175561,-0.00175561,0.0593615,-0.0593615,1524.9
0.8800,0.864737,1.61775e-05,0.0443562,0.0282423,-0.0486409,-0.000913693,1.85321,-5.40095e-05,0.00905481,-0.0664301,-0.0756469,0.000107408,0.00596006,-0.00596006,0.100678,-0.100678,1525,0.00246968,-0.00246968,0.0666938,-0.0666938,1524.92
0.9000,0.90233,-2.38038e-05,0.0463473,0.0269532,-0.050117,-0.000954645,1.8823,-5.44023e-05,0.00804703,-0.0645517,-0.0738346,3.98215e-05,0.00651659,-0.00651659,0.104524,-0.104524,1525,0.00316776,-0.00316776,0.0734907,-0.0734907,1524.93
0.9200,0.940487,-6.49777e-05,0.048403,0.025715,-0.0515525,-0.000993596,1.91061,-4.64345e-05,0.00708531,-0.0620065,-0.0717993,-1.01182e-05,0.00698739,-0.00698739,0.107526,-0.107526,1525,0.00383752,-0.00383752,0.0796973,-0.0796973,1524.95
0.9400,0.979193,-0.00010724,0.0505238,0.0245393,-0.052943,-0.00103024,1.93817,-3.14851e-05,0.00617426,-0.058881,-0.0695506,-4.12992e-05,0.0073666,-0.0073666,0.109661,-0.109661,1525,0.0044675,-0.0044675,0.0852631,-0.0852631,1524.96
0.9600,1.01843,-0.000150495,0.0527096,0.0234358,-0.0542846,-0.00106428,1.96498,-1.10129e-05,0.00531793,-0.0552641,-0.0671008,-5.31084e-05,0.00765079,-0.00765079,0.110911,-0.110911,1525,0.00504732,-0.00504732,0.0901426,-0.0901426,1524.97
0.9800,1.05819,-0.000194657,0.0549605,0.0224126,-0.0555735,-0.00109544,1.99106,1.34843e-05,0.00451972,-0.0512456,-0.0644644,-4.54334e-05,0.00783898,-0.00783898,0.11127,-0.11127,1525,0.00556801,-0.00556801,0.0942963,-0.0942963,1524.97
1.0000,1.09845,-0.000239647,0.057276,0.0214759,-0.0568063,-0.00112349,2.01643,4.05092e-05,0.00378237,-0.0469144,-0.0616582,-1.86493e-05,0.00793256,-0.00793256,0.110741,-0.110741,1525,0.00602221,-0.00602221,0.0976911,-0.0976911,1524.98
1.0200,1.1392,-0.000285396,0.0596558,0.0206301,-0.0579801,-0.00114822,2.0411,6.86013e-05,0.00310792,-0.0423576,-0.0587016,2.64112e-05,0.00793516,-0.00793516,0.109337,-0.109337,1525,0.00640428,-0.00640428,0.100301,-0.100301,1524.98
1.0400,1.18043,-0.000331839,0.0620991,0.0198782,-0.0590922,-0.00116943,2.06509,9.6369e-05,0.00249762,-0.037659,-0.0556157,8.85011e-05,0.00785245,-0.00785245,0.107079,-0.107079,1525,0.00671045,-0.00671045,0.102108,-0.102108,1524.99
1.0600,1.22213,-0.000378922,0.0646048,0.0192213,-0.0601406,-0.00118698,2.0884,0.000122517,0.001952,-0.0328981,-0.0524235,0.000166015,0.0076919,-0.0076919,0.104,-0.104,1525,0.00693885,-0.00693885,0.103102,-0.103102,1524.99
1.0800,1.26427,-0.000426594,0.0671719,0.0186591,-0.0611235,-0.00120076,2.11107,0.000145871,0.0014708,-0.0281493,-0.0491497,0.000257055,0.00746242,-0.00746242,0.100141,-0.100141,1525,0.00708946,-0.00708946,0.103282,-0.103282,1524.99
1.1000,1.30685,-0.000474809,0.069799,0.0181901,-0.0620398,-0.00121069,2.13309,0.00016539,0.00105298,-0.0234812,-0.0458202,0.000359499,0.00717405,-0.00717405,0.0955529,-0.0955529,1525,0.00716405,-0.00716405,0.102654,-0.102654,1524.99
1.1200,1.34986,-0.000523526,0.0724845,0.0178113,-0.0628891,-0.00121672,2.15449,0.000180183,0.000696779,-0.0189557,-0.0424616,0.000471082,0.0068376,-0.0068376,0.090294,-0.090294,1525,0.00716605,-0.00716605,0.101233,-0.101233,1524.99
1.1400,1.39328,-0.000572708,0.0752268,0.0175189,-0.0636712,-0.00121887,2.17527,0.000189513,0.000399699,-0.014628,-0.0391016,0.000589468,0.00646425,-0.00646425,0.0844299,-0.0844299,1525,0.00710036,-0.00710036,0.0990456,-0.0990456,1525
1.1600,1.4371,-0.000622319,0.0780239,0.0173079,-0.0643867,-0.00121715,2.19546,0.0001928,0.00015857,-0.010546,-0.0357675,0.000712324,0.00606525,-0.00606525,0.0780331,-0.0780331,1525,0.00697314,-0.00697314,0.0961225,-0.0961225,1525
1.1800,1.48131,-0.000672327,0.0808738,0.0171725,-0.0650366,-0.00121164,2.21507,0.000189614,-3.04088e-05,-0.00675018,-0.0324868,0.00083739,0.00565155,-0.00565155,0.0711813,-0.0711813,1525,0.00679156,-0.00679156,0.0925046,-0.0925046,1525
1.2000,1.52589,-0.0007227,0.0837744,0.0171065,-0.0656226,-0.00120243,2.23412,0.000179673,-0.000171602,-0.00327356,-0.0292864,0.000962539,0.00523351,-0.00523351,0.0639564,-0.0639564,1525,0.00656356,-0.00656356,0.0882399,-0.0882399,1525
1.2200,1.57085,-0.000773407,0.0867234,0.0171028,-0.0661468,-0.00118965,2.25261,0.00016283,-0.000269869,-0.000141829,-0.026192,0.00108583,0.00482062,-0.00482062,0.0564437,-0.0564437,1525,0.00629755,-0.00629755,0.0833832,-0.0833832,1525
1.2400,1.61616,-0.000824419,0.0897184,0.0171542,-0.0666117,-0.00117345,2.27056,0.000139062,-0.000330486,0.00262652,-0.0232281,0.00120556,0.00442133,-0.00442133,0.0487298,-0.0487298,1525,0.00600216,-0.00600216,0.0779953,-0.0779953,1525
1.2600,1.66182,-0.000875706,0.0927572,0.0172533,-0.0670204,-0.00115401,2.28799,0.000108454,-0.00035906,0.00501993,-0.0204174,0.00132027,0.00404288,-0.00404288,0.0409023,-0.0409023,1525,0.005686,-0.005686,0.0721422,-0.0721422,1525
1.2800,1.70781,-0.000927237,0.0958372,0.0173925,-0.0673765,-0.00113153,2.30491,7.1185e-05,-0.000361439,0.00703343,-0.0177808,0.00142881,0.00369119,-0.00369119,0.0330476,-0.0330476,1525,0.00535737,-0.00535737,0.0658942,-0.0658942,1525
1.3000,1.75414,-0.000978981,0.0989561,0.0175642,-0.0676837,-0.0011062,2.32132,2.75117e-05,-0.000343617,0.0086682,-0.0153365,0.00153027,0.00337084,-0.00337084,0.0252502,-0.0252502,1525,0.00502414,-0.00502414,0.0593249,-0.0593249,1525
1.3200,1.80077,-0.00103091,0.102111,0.0177609,-0.0679462,-0.00107826,2.33726,-2.22465e-05,-0.000311645,0.00993108,-0.0131003,0.00162407,0.00308504,-0.00308504,0.0175912,-0.0175912,1525,0.00469348,-0.00469348,0.05251,-0.05251,1525
1.3400,1.84772,-0.00108299,0.105301,0.0179755,-0.0681685,-0.00104794,2.35272,-7.77229e-05,-0.00027153,0.0108341,-0.0110851,0.00170988,0.00283574,-0.00283574,0.0101472,-0.0101472,1525,0.00437179,-0.00437179,0.0455262,-0.0455262,1525
1.3600,1.89497,-0.00113518,0.108522,0.0182012,-0.0683551,-0.00101546,2.36772,-0.000138517,-0.000229149,0.0113938,-0.00930102,0.00178762,0.00262368,-0.00262368,0.00298909,-0.00298909,1525,0.00406458,-0.00406458,0.0384504,-0.0384504,1525
1.3800,1.9425,-0.00118747,0.111772,0.0184314,-0.0685109,-0.000981061,2.38227,-0.000204206,-0.000190157,0.0116307,-0.00775477,0.00185744,0.00244856,-0.00244856,-0.00381857,0.00381857,1525,0.0037764,-0.0037764,0.0313582,-0.0313582,1525
1.4000,1.99032,-0.0012398,0.11505,0.0186604,-0.0686405,-0.000944967,2.39638,-0.000274359,-0.000159906,0.0115688,-0.00645011,0.00191966,0.00230912,-0.00230912,-0.0102187,0.0102187,1525,0.00351083,-0.00351083,0.0243228,-0.0243228,1525
1.4200,2.0384,-0.00129216,0.118353,0.0188825,-0.068749,-0.0009074,2.41008,-0.00034854,-0.000143371,0.0112349,-0.00538758,0.00197478,0.00220338,-0.00220338,-0.0161623,0.0161623,1525,0.00327049,-0.00327049,0.0174145,-0.0174145,1525
1.4400,2.08676,-0.00134451,0.121679,0.019093,-0.0688411,-0.000868571,2.42335,-0.000426323,-0.00014508,0.0106577,-0.00456465,0.00202341,0.00212876,-0.00212876,-0.0216088,0.0216088,1525,0.00305707,-0.00305707,0.0106992,-0.0106992,1525
1.4600,2.13537,-0.00139681,0.125027,0.0192876,-0.0689213,-0.000828678,2.43623,-0.000507292,-0.000169062,0.00986762,-0.00397579,0.00206623,0.00208225,-0.00208225,-0.0265269,0.0265269,1525,0.0028714,-0.0028714,0.00423755,-0.00423755,1525
1.4800,2.18422,-0.00144903,0.128395,0.0194627,-0.0689944,-0.000787902,2.44872,-0.000591048,-0.000218793,0.00889607,-0.00361265,0.00210399,0.0020606,-0.0020606,-0.0308939,0.0308939,1525,0.00271357,-0.00271357,-0.00191533,0.00191533,1525
1.5000,2.23332,-0.00150114,0.131782,0.0196153,-0.0690645,-0.000746411,2.46082,-0.000677213,-0.000297167,0.00777481,-0.00346427,0.00213746,0.00206041,-0.00206041,-0.0346968,0.0346968,1525,0.00258298,-0.00258298,-0.00771105,0.00771105,1525
1.5200,2.28266,-0.00155311,0.135186,0.0197431,-0.0691357,-0.000704351,2.47256,-0.000765434,-0.000406469,0.0065355,-0.0035173,0.00216737,0.0020783,-0.0020783,-0.0379312,0.0379312,1525,0.00247847,-0.00247847,-0.0131082,0.0131082,1525
