# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 30.0
# ref_psi = 45.0
# ref_n = 1525
# V_c = 0.0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
# current_model_type = GaussMarkovCurrent
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.3600,0.137228,0.000258459,0.0103978,0.0257845,-0.00982176,-4.00582e-05,0.78798,0.00195148,0.0301949,0.124919,-0.0524068,0.000759734,-0.00208845,0.00208845,-0.106475,0.106475,1525,-0.000679071,0.000679071,-0.124378,0.124378,1497.53
0.3800,0.153993,0.00028182,0.0111606,0.0281969,-0.010923,-5.10134e-05,0.838555,0.00197217,0.0298635,0.120614,-0.0550587,0.000872059,-0.00250449,0.00250449,-0.0996726,0.0996726,1525,-0.000960947,0.000960947,-0.120798,0.120798,1503.02
0.4000,0.171758,0.000303676,0.011945,0.0304882,-0.0120754,-6.38388e-05,0.888621,0.00196982,0.0294713,0.11456,-0.0576137,0.000983474,-0.00291078,0.00291078,-0.0924932,0.0924932,1525,-0.00126966,0.00126966,-0.116573,0.116573,1507.42
0.4200,0.190511,0.000323677,0.0127527,0.0326274,-0.0132769,-7.86502e-05,0.938075,0.00194527,0.0290148,0.106952,-0.0600694,0.00109112,-0.00329338,0.00329338,-0.0849316,0.0849316,1525,-0.00159788,0.00159788,-0.111757,0.111757,1510.93
0.4400,0.210238,0.000341517,0.0135853,0.0345877,-0.0145256,-9.55533e-05,0.986812,0.00189982,0.0284851,0.098001,-0.062428,0.00119206,-0.00363807,0.00363807,-0.0769482,0.0769482,1525,-0.00193698,0.00193698,-0.106392,0.106392,1513.75
0.4600,0.230925,0.000356908,0.014445,0.0363466,-0.0158189,-0.000114615,1.03487,0.00183469,0.0279126,0.0879322,-0.0646638,0.00128391,-0.00393328,0.00393328,-0.0687568,0.0687568,1525,-0.0022772,0.0022772,-0.100503,0.100503,1516
0.4800,0.252556,0.000369624,0.0153337,0.0378865,-0.0171548,-0.000135898,1.08213,0.0017521,0.0272756,0.0769776,-0.0667884,0.00136386,-0.0041654,0.0041654,-0.0602365,0.0602365,1525,-0.00260841,0.00260841,-0.0941538,0.0941538,1517.8
0.5000,0.275115,0.000379493,0.0162531,0.0391943,-0.0185309,-0.000159451,1.12854,0.00165433,0.0265707,0.0653704,-0.0688001,0.00142953,-0.00432292,0.00432292,-0.0513833,0.0513833,1525,-0.00291981,0.00291981,-0.0873703,0.0873703,1519.24
0.5200,0.298582,0.000386382,0.017205,0.0402616,-0.0199448,-0.000185299,1.17406,0.00154376,0.0258008,0.0533394,-0.0706917,0.00147895,-0.00439641,0.00439641,-0.0422369,0.0422369,1525,-0.00320043,0.00320043,-0.0801729,0.0801729,1520.39
0.5400,0.322942,0.000390187,0.0181914,0.0410842,-0.0213938,-0.000213431,1.21875,0.0014227,0.0249833,0.0411047,-0.0724469,0.00151098,-0.00438034,0.00438034,-0.03293,0.03293,1525,-0.00343963,0.00343963,-0.0725857,0.0725857,1521.31
