# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.42
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.3600,0.0929163,0.000263622,0.000223504,0.0267881,-0.00672803,2.50108e-05,0.653957,0.00114116,-0.000953774,0.129195,-0.0440484,0.00151982,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0856944,-0.0856944,0.0856944,-0.0856944,1497.53
0.3800,0.107024,0.000285391,0.000295335,0.0292796,-0.00765991,3.74346e-05,0.70537,0.00103951,-0.00118244,0.12458,-0.0465604,0.00186895,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0860088,-0.0860088,0.0860088,-0.0860088,1503.02
0.4000,0.122146,0.000304964,0.000382918,0.0316425,-0.00863816,5.39673e-05,0.756138,0.00090858,-0.00143999,0.118155,-0.0488674,0.00225819,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0862603,-0.0862603,0.0862603,-0.0862603,1507.42
0.4200,0.138269,0.000321907,0.000488165,0.0338448,-0.0096586,7.54312e-05,0.806167,0.000749391,-0.001726,0.110124,-0.0509628,0.00268683,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0864616,-0.0864616,0.0864616,-0.0864616,1510.93
0.4400,0.155376,0.000335835,0.000613012,0.0358588,-0.010717,0.000102713,0.85538,0.000563207,-0.00203962,0.100713,-0.0528425,0.00315393,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0866225,-0.0866225,0.0866225,-0.0866225,1513.75
0.4600,0.17345,0.000346423,0.000759405,0.0376616,-0.011809,0.000136757,0.90372,0.000351455,-0.00237956,0.0901571,-0.054504,0.00365848,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0867513,-0.0867513,0.0867513,-0.0867513,1516
0.4800,0.192472,0.000353402,0.000929287,0.0392351,-0.0129303,0.000178558,0.951142,0.000115661,-0.00274414,0.0787015,-0.0559467,0.00419942,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0868544,-0.0868544,0.0868544,-0.0868544,1517.8
0.5000,0.212424,0.000356571,0.00112458,0.0405663,-0.0140766,0.000229153,0.997613,-0.000142599,-0.00313134,0.0665902,-0.0571714,0.00477578,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0869368,-0.0869368,0.0869368,-0.0869368,1519.24
0.5200,0.233285,0.000355794,0.00134719,0.0416467,-0.0152436,0.000289615,1.04311,-0.000421761,-0.0035388,0.0540635,-0.0581799,0.00538672,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870027,-0.0870027,0.0870027,-0.0870027,1520.39
0.5400,0.255036,0.000351,0.00159896,0.0424727,-0.0164271,0.000361042,1.08761,-0.000720319,-0.00396391,0.0413529,-0.058975,0.00603158,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870555,-0.0870555,0.0870555,-0.0870555,1521.31
