# Torpedo AUV simulation export
# L = 1.6
# diam = 0.19
# massa = 31.029384975800244
# Cd = 0.25
# r44 = 0.3
# T_surge = 20
# T_sway = 20
# T_heave = 20
# zeta_roll = 0.3
# zeta_pitch = 0.8
# T_yaw = 1
# K_nomoto = 0.25
# T_nomoto = 1
# wn_d = 0.1
# zeta_d = 1
# r_max = 0.08726646259971647
# lam = 0.1
# phi_b = 0.1
# K_d = 0.5
# K_sigma = 0.05
# wn_d_z = 0.02
# Kp_z = 0.1
# T_z = 100.0
# Kp_theta = 5.0
# Kd_theta = 2.0
# Ki_theta = 0.3
# K_w = 5.0
# ref_z = 0
# ref_psi = 0
# ref_n = 0
# V_c = 0
# beta_c = 0.0
# fin_CL = [0.5, 0.5, 0.7, 0.7]
# fin_area = [0.00665, 0.00665, 0.00665, 0.00665]
# thruster_nMax = 1525
#
t_s,x_north_m,y_east_m,z_depth_m,phi_rad,theta_rad,psi_rad,u_ms,v_ms,w_ms,p_rads,q_rads,r_rads,delta_r_top_rad,delta_r_bottom_rad,delta_s_star_rad,delta_s_port_rad,n_cmd_rpm,delta_r_top_actual_rad,delta_r_bottom_actual_rad,delta_s_star_actual_rad,delta_s_port_actual_rad,n_actual_rpm
0.3600,0.0930923,0.00026357,0.000224332,0.0267858,-0.00674148,2.50253e-05,0.656344,0.00114006,-0.000958741,0.129157,-0.0442265,0.00152476,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0856944,-0.0856944,0.0856944,-0.0856944,1497.53
0.3800,0.10726,0.000285312,0.000296612,0.0292762,-0.00767779,3.74768e-05,0.708377,0.00103789,-0.0011897,0.124529,-0.0467819,0.00187617,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0860088,-0.0860088,0.0860088,-0.0860088,1503.02
0.4000,0.122457,0.000304848,0.00038483,0.0316379,-0.00866146,5.40592e-05,0.759862,0.00090625,-0.00145029,0.118088,-0.049138,0.00226844,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0862603,-0.0862603,0.0862603,-0.0862603,1507.42
0.4200,0.13867,0.00032174,0.000490952,0.0338384,-0.00968842,7.56052e-05,0.810708,0.000746124,-0.00174025,0.110038,-0.0512882,0.00270099,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0864616,-0.0864616,0.0864616,-0.0864616,1510.93
0.4400,0.155887,0.000335603,0.00061698,0.0358502,-0.0107545,0.000103015,0.860843,0.000558719,-0.00205885,0.100603,-0.053228,0.00317308,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0866225,-0.0866225,0.0866225,-0.0866225,1513.75
0.4600,0.174091,0.000346106,0.000764936,0.0376503,-0.0118555,0.000137252,0.910212,0.000345399,-0.00240497,0.0900209,-0.054955,0.00368383,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0867513,-0.0867513,0.0867513,-0.0867513,1516
0.4800,0.193265,0.000352979,0.00093685,0.0392205,-0.0129873,0.000179332,0.958774,0.000107625,-0.00277708,0.078535,-0.0564682,0.00423238,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0868544,-0.0868544,0.0868544,-0.0868544,1517.8
0.5000,0.213394,0.000356018,0.00113474,0.0405476,-0.0141455,0.000230319,1.0065,-0.000153106,-0.0031733,0.0663897,-0.057768,0.00481795,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0869368,-0.0869368,0.0869368,-0.0869368,1519.24
0.5200,0.234461,0.000355082,0.00136063,0.0416232,-0.0153261,0.000291317,1.05336,-0.000435311,-0.00359143,0.0538252,-0.0588557,0.0054399,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870027,-0.0870027,0.0870027,-0.0870027,1520.39
0.5400,0.256446,0.000350101,0.00161647,0.0424436,-0.0165248,0.000363464,1.09934,-0.000737578,-0.00402896,0.0410732,-0.0597337,0.00609778,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870555,-0.0870555,0.0870555,-0.0870555,1521.31
0.5600,0.279333,0.000341071,0.00190422,0.0430093,-0.0177376,0.000447919,1.14444,-0.0010586,-0.00448314,0.0283531,-0.0604051,0.00679136,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0870977,-0.0870977,0.0870977,-0.0870977,1522.05
0.5800,0.303104,0.000328057,0.00222575,0.0433249,-0.0189604,0.000545862,1.18864,-0.00139725,-0.00495098,0.015869,-0.0608736,0.00752062,0.0872665,-0.0872665,0.0872665,-0.0872665,1525,0.0871314,-0.0871314,0.0871314,-0.0871314,1522.64
